rawDemand_MW,rawIrradiance_Wm_2,raPV_power_mw,rawPanel_temp_C,dateTimeUTC,dateTimeLocal,year,monthName,dayOfWeek,hourNumber,settlementPeriod,timeofDayLocal,bankHoliday,workingDay
3.35,85.06,0.35,13.99,2017-11-03 09:00:00.0000000,2017-11-03 09:00:00.0000000,2017,Nov,Fri,0,14707,2021-01-31 09:00:00.0000000,NOT HOLIDAY,WD
3.41,95.07,0.4,13.65,2017-11-03 09:30:00.0000000,2017-11-03 09:30:00.0000000,2017,Nov,Fri,0,14708,2021-01-31 09:30:00.0000000,NOT HOLIDAY,WD
3.31,190.7,0.79,14.28,2017-11-03 10:00:00.0000000,2017-11-03 10:00:00.0000000,2017,Nov,Fri,0,14709,2021-01-31 10:00:00.0000000,NOT HOLIDAY,WD
3.21,180.29,0.76,17.53,2017-11-03 10:30:00.0000000,2017-11-03 10:30:00.0000000,2017,Nov,Fri,0,14710,2021-01-31 10:30:00.0000000,NOT HOLIDAY,WD
3.16,146.27,0.62,16.2,2017-11-03 11:00:00.0000000,2017-11-03 11:00:00.0000000,2017,Nov,Fri,0,14711,2021-01-31 11:00:00.0000000,NOT HOLIDAY,WD
3.12,288.92,1.19,16.43,2017-11-03 11:30:00.0000000,2017-11-03 11:30:00.0000000,2017,Nov,Fri,0,14712,2021-01-31 11:30:00.0000000,NOT HOLIDAY,WD
2.89,466.2,2,23.37,2017-11-03 12:00:00.0000000,2017-11-03 12:00:00.0000000,2017,Nov,Fri,0,14713,2021-01-31 12:00:00.0000000,NOT HOLIDAY,WD
3.1,338.5,1.38,19.41,2017-11-03 12:30:00.0000000,2017-11-03 12:30:00.0000000,2017,Nov,Fri,0,14714,2021-01-31 12:30:00.0000000,NOT HOLIDAY,WD
3.04,308.66,1.35,18.71,2017-11-03 13:00:00.0000000,2017-11-03 13:00:00.0000000,2017,Nov,Fri,0,14715,2021-01-31 13:00:00.0000000,NOT HOLIDAY,WD
2.83,509.04,2.11,22.6,2017-11-03 13:30:00.0000000,2017-11-03 13:30:00.0000000,2017,Nov,Fri,0,14716,2021-01-31 13:30:00.0000000,NOT HOLIDAY,WD
2.76,443.73,1.81,24.31,2017-11-03 14:00:00.0000000,2017-11-03 14:00:00.0000000,2017,Nov,Fri,0,14717,2021-01-31 14:00:00.0000000,NOT HOLIDAY,WD
2.82,349.08,1.39,21.99,2017-11-03 14:30:00.0000000,2017-11-03 14:30:00.0000000,2017,Nov,Fri,0,14718,2021-01-31 14:30:00.0000000,NOT HOLIDAY,WD
2.89,272.7,1.02,20.54,2017-11-03 15:00:00.0000000,2017-11-03 15:00:00.0000000,2017,Nov,Fri,0,14719,2021-01-31 15:00:00.0000000,NOT HOLIDAY,WD
3.06,145.59,0.52,16.49,2017-11-03 15:30:00.0000000,2017-11-03 15:30:00.0000000,2017,Nov,Fri,0,14720,2021-01-31 15:30:00.0000000,NOT HOLIDAY,WD
3.36,61.73,0.2,13.63,2017-11-03 16:00:00.0000000,2017-11-03 16:00:00.0000000,2017,Nov,Fri,0,14721,2021-01-31 16:00:00.0000000,NOT HOLIDAY,WD
3.89,6.42,0.02,10.99,2017-11-03 16:30:00.0000000,2017-11-03 16:30:00.0000000,2017,Nov,Fri,0,14722,2021-01-31 16:30:00.0000000,NOT HOLIDAY,WD
4.48,0,0,10.27,2017-11-03 17:00:00.0000000,2017-11-03 17:00:00.0000000,2017,Nov,Fri,0,14723,2021-01-31 17:00:00.0000000,NOT HOLIDAY,WD
4.59,0,0,10.37,2017-11-03 17:30:00.0000000,2017-11-03 17:30:00.0000000,2017,Nov,Fri,0,14724,2021-01-31 17:30:00.0000000,NOT HOLIDAY,WD
4.51,0,0,9.73,2017-11-03 18:00:00.0000000,2017-11-03 18:00:00.0000000,2017,Nov,Fri,0,14725,2021-01-31 18:00:00.0000000,NOT HOLIDAY,WD
4.4,0,0,9.97,2017-11-03 18:30:00.0000000,2017-11-03 18:30:00.0000000,2017,Nov,Fri,0,14726,2021-01-31 18:30:00.0000000,NOT HOLIDAY,WD
4.2,0,0,10.01,2017-11-03 19:00:00.0000000,2017-11-03 19:00:00.0000000,2017,Nov,Fri,0,14727,2021-01-31 19:00:00.0000000,NOT HOLIDAY,WD
4,0,0,10.39,2017-11-03 19:30:00.0000000,2017-11-03 19:30:00.0000000,2017,Nov,Fri,0,14728,2021-01-31 19:30:00.0000000,NOT HOLIDAY,WD
3.75,0,0,10.58,2017-11-03 20:00:00.0000000,2017-11-03 20:00:00.0000000,2017,Nov,Fri,0,14729,2021-01-31 20:00:00.0000000,NOT HOLIDAY,WD
3.58,0,0,10.85,2017-11-03 20:30:00.0000000,2017-11-03 20:30:00.0000000,2017,Nov,Fri,0,14730,2021-01-31 20:30:00.0000000,NOT HOLIDAY,WD
3.32,0,0,11.15,2017-11-03 21:00:00.0000000,2017-11-03 21:00:00.0000000,2017,Nov,Fri,0,14731,2021-01-31 21:00:00.0000000,NOT HOLIDAY,WD
3.02,0,0,11.54,2017-11-03 21:30:00.0000000,2017-11-03 21:30:00.0000000,2017,Nov,Fri,0,14732,2021-01-31 21:30:00.0000000,NOT HOLIDAY,WD
2.8,0,0,11.48,2017-11-03 22:00:00.0000000,2017-11-03 22:00:00.0000000,2017,Nov,Fri,0,14733,2021-01-31 22:00:00.0000000,NOT HOLIDAY,WD
2.49,0,0,12.15,2017-11-03 22:30:00.0000000,2017-11-03 22:30:00.0000000,2017,Nov,Fri,0,14734,2021-01-31 22:30:00.0000000,NOT HOLIDAY,WD
2.29,0,0,12.47,2017-11-03 23:00:00.0000000,2017-11-03 23:00:00.0000000,2017,Nov,Fri,0,14735,2021-01-31 23:00:00.0000000,NOT HOLIDAY,WD
2.08,0,0,12.54,2017-11-03 23:30:00.0000000,2017-11-03 23:30:00.0000000,2017,Nov,Fri,0,14736,2021-01-31 23:30:00.0000000,NOT HOLIDAY,WD
2.33,0,0,12.59,2017-11-04 00:00:00.0000000,2017-11-04 00:00:00.0000000,2017,Nov,Sat,0,14737,2021-01-31 00:00:00.0000000,NOT HOLIDAY,NWD
2.21,0,0,12.52,2017-11-04 00:30:00.0000000,2017-11-04 00:30:00.0000000,2017,Nov,Sat,0,14738,2021-01-31 00:30:00.0000000,NOT HOLIDAY,NWD
2.03,0,0,12.5,2017-11-04 01:00:00.0000000,2017-11-04 01:00:00.0000000,2017,Nov,Sat,0,14739,2021-01-31 01:00:00.0000000,NOT HOLIDAY,NWD
1.9,0,0,12.43,2017-11-04 01:30:00.0000000,2017-11-04 01:30:00.0000000,2017,Nov,Sat,0,14740,2021-01-31 01:30:00.0000000,NOT HOLIDAY,NWD
1.85,0,0,12.17,2017-11-04 02:00:00.0000000,2017-11-04 02:00:00.0000000,2017,Nov,Sat,0,14741,2021-01-31 02:00:00.0000000,NOT HOLIDAY,NWD
1.74,0,0,12.1,2017-11-04 02:30:00.0000000,2017-11-04 02:30:00.0000000,2017,Nov,Sat,0,14742,2021-01-31 02:30:00.0000000,NOT HOLIDAY,NWD
1.67,0,0,11.22,2017-11-04 03:00:00.0000000,2017-11-04 03:00:00.0000000,2017,Nov,Sat,0,14743,2021-01-31 03:00:00.0000000,NOT HOLIDAY,NWD
1.61,0,0,10.79,2017-11-04 03:30:00.0000000,2017-11-04 03:30:00.0000000,2017,Nov,Sat,0,14744,2021-01-31 03:30:00.0000000,NOT HOLIDAY,NWD
1.61,0,0,10.57,2017-11-04 04:00:00.0000000,2017-11-04 04:00:00.0000000,2017,Nov,Sat,0,14745,2021-01-31 04:00:00.0000000,NOT HOLIDAY,NWD
1.53,0,0,10.6,2017-11-04 04:30:00.0000000,2017-11-04 04:30:00.0000000,2017,Nov,Sat,0,14746,2021-01-31 04:30:00.0000000,NOT HOLIDAY,NWD
1.61,0,0,10.75,2017-11-04 05:00:00.0000000,2017-11-04 05:00:00.0000000,2017,Nov,Sat,0,14747,2021-01-31 05:00:00.0000000,NOT HOLIDAY,NWD
1.71,0,0,10.62,2017-11-04 05:30:00.0000000,2017-11-04 05:30:00.0000000,2017,Nov,Sat,0,14748,2021-01-31 05:30:00.0000000,NOT HOLIDAY,NWD
1.93,0,0,9.68,2017-11-04 06:00:00.0000000,2017-11-04 06:00:00.0000000,2017,Nov,Sat,0,14749,2021-01-31 06:00:00.0000000,NOT HOLIDAY,NWD
2.12,0,0,9.72,2017-11-04 06:30:00.0000000,2017-11-04 06:30:00.0000000,2017,Nov,Sat,0,14750,2021-01-31 06:30:00.0000000,NOT HOLIDAY,NWD
2.39,0.72,0,9.9,2017-11-04 07:00:00.0000000,2017-11-04 07:00:00.0000000,2017,Nov,Sat,0,14751,2021-01-31 07:00:00.0000000,NOT HOLIDAY,NWD
2.82,5.55,0.01,9.49,2017-11-04 07:30:00.0000000,2017-11-04 07:30:00.0000000,2017,Nov,Sat,0,14752,2021-01-31 07:30:00.0000000,NOT HOLIDAY,NWD
3.13,25.39,0.1,9.61,2017-11-04 08:00:00.0000000,2017-11-04 08:00:00.0000000,2017,Nov,Sat,0,14753,2021-01-31 08:00:00.0000000,NOT HOLIDAY,NWD
3.36,62.5,0.26,10.62,2017-11-04 08:30:00.0000000,2017-11-04 08:30:00.0000000,2017,Nov,Sat,0,14754,2021-01-31 08:30:00.0000000,NOT HOLIDAY,NWD
3.42,136.6,0.55,11.87,2017-11-04 09:00:00.0000000,2017-11-04 09:00:00.0000000,2017,Nov,Sat,0,14755,2021-01-31 09:00:00.0000000,NOT HOLIDAY,NWD
3.37,256.72,1.04,13.31,2017-11-04 09:30:00.0000000,2017-11-04 09:30:00.0000000,2017,Nov,Sat,0,14756,2021-01-31 09:30:00.0000000,NOT HOLIDAY,NWD
3.42,286.97,1.13,15.53,2017-11-04 10:00:00.0000000,2017-11-04 10:00:00.0000000,2017,Nov,Sat,0,14757,2021-01-31 10:00:00.0000000,NOT HOLIDAY,NWD
3.39,135.61,0.6,12.17,2017-11-04 10:30:00.0000000,2017-11-04 10:30:00.0000000,2017,Nov,Sat,0,14758,2021-01-31 10:30:00.0000000,NOT HOLIDAY,NWD
3.28,202.1,0.89,12.9,2017-11-04 11:00:00.0000000,2017-11-04 11:00:00.0000000,2017,Nov,Sat,0,14759,2021-01-31 11:00:00.0000000,NOT HOLIDAY,NWD
3.15,330.84,1.33,14.49,2017-11-04 11:30:00.0000000,2017-11-04 11:30:00.0000000,2017,Nov,Sat,0,14760,2021-01-31 11:30:00.0000000,NOT HOLIDAY,NWD
3.02,591.68,2.37,16.6,2017-11-04 12:00:00.0000000,2017-11-04 12:00:00.0000000,2017,Nov,Sat,0,14761,2021-01-31 12:00:00.0000000,NOT HOLIDAY,NWD
2.89,719.27,2.97,18.97,2017-11-04 12:30:00.0000000,2017-11-04 12:30:00.0000000,2017,Nov,Sat,0,14762,2021-01-31 12:30:00.0000000,NOT HOLIDAY,NWD
2.97,440.97,1.88,16.17,2017-11-04 13:00:00.0000000,2017-11-04 13:00:00.0000000,2017,Nov,Sat,0,14763,2021-01-31 13:00:00.0000000,NOT HOLIDAY,NWD
3.02,273.11,1.12,13.56,2017-11-04 13:30:00.0000000,2017-11-04 13:30:00.0000000,2017,Nov,Sat,0,14764,2021-01-31 13:30:00.0000000,NOT HOLIDAY,NWD
2.81,440.3,1.82,14.5,2017-11-04 14:00:00.0000000,2017-11-04 14:00:00.0000000,2017,Nov,Sat,0,14765,2021-01-31 14:00:00.0000000,NOT HOLIDAY,NWD
2.88,275.57,1.09,15.38,2017-11-04 14:30:00.0000000,2017-11-04 14:30:00.0000000,2017,Nov,Sat,0,14766,2021-01-31 14:30:00.0000000,NOT HOLIDAY,NWD
3.02,168.62,0.66,13.15,2017-11-04 15:00:00.0000000,2017-11-04 15:00:00.0000000,2017,Nov,Sat,0,14767,2021-01-31 15:00:00.0000000,NOT HOLIDAY,NWD
3.02,246.5,0.83,12.02,2017-11-04 15:30:00.0000000,2017-11-04 15:30:00.0000000,2017,Nov,Sat,0,14768,2021-01-31 15:30:00.0000000,NOT HOLIDAY,NWD
3.36,94.52,0.23,10.87,2017-11-04 16:00:00.0000000,2017-11-04 16:00:00.0000000,2017,Nov,Sat,0,14769,2021-01-31 16:00:00.0000000,NOT HOLIDAY,NWD
3.92,8.33,0.02,7.57,2017-11-04 16:30:00.0000000,2017-11-04 16:30:00.0000000,2017,Nov,Sat,0,14770,2021-01-31 16:30:00.0000000,NOT HOLIDAY,NWD
4.52,0,0,6.48,2017-11-04 17:00:00.0000000,2017-11-04 17:00:00.0000000,2017,Nov,Sat,0,14771,2021-01-31 17:00:00.0000000,NOT HOLIDAY,NWD
4.66,0,0,6.17,2017-11-04 17:30:00.0000000,2017-11-04 17:30:00.0000000,2017,Nov,Sat,0,14772,2021-01-31 17:30:00.0000000,NOT HOLIDAY,NWD
4.56,0,0,4.53,2017-11-04 18:00:00.0000000,2017-11-04 18:00:00.0000000,2017,Nov,Sat,0,14773,2021-01-31 18:00:00.0000000,NOT HOLIDAY,NWD
4.3,0,0,4.14,2017-11-04 18:30:00.0000000,2017-11-04 18:30:00.0000000,2017,Nov,Sat,0,14774,2021-01-31 18:30:00.0000000,NOT HOLIDAY,NWD
4.03,0,0,5.02,2017-11-04 19:00:00.0000000,2017-11-04 19:00:00.0000000,2017,Nov,Sat,0,14775,2021-01-31 19:00:00.0000000,NOT HOLIDAY,NWD
3.8,0,0,5.49,2017-11-04 19:30:00.0000000,2017-11-04 19:30:00.0000000,2017,Nov,Sat,0,14776,2021-01-31 19:30:00.0000000,NOT HOLIDAY,NWD
3.62,0,0,4.22,2017-11-04 20:00:00.0000000,2017-11-04 20:00:00.0000000,2017,Nov,Sat,0,14777,2021-01-31 20:00:00.0000000,NOT HOLIDAY,NWD
3.44,0,0,5.05,2017-11-04 20:30:00.0000000,2017-11-04 20:30:00.0000000,2017,Nov,Sat,0,14778,2021-01-31 20:30:00.0000000,NOT HOLIDAY,NWD
3.25,0,0,4.47,2017-11-04 21:00:00.0000000,2017-11-04 21:00:00.0000000,2017,Nov,Sat,0,14779,2021-01-31 21:00:00.0000000,NOT HOLIDAY,NWD
3.03,0,0,3.91,2017-11-04 21:30:00.0000000,2017-11-04 21:30:00.0000000,2017,Nov,Sat,0,14780,2021-01-31 21:30:00.0000000,NOT HOLIDAY,NWD
2.86,0,0,4.64,2017-11-04 22:00:00.0000000,2017-11-04 22:00:00.0000000,2017,Nov,Sat,0,14781,2021-01-31 22:00:00.0000000,NOT HOLIDAY,NWD
2.56,0,0,3.89,2017-11-04 22:30:00.0000000,2017-11-04 22:30:00.0000000,2017,Nov,Sat,0,14782,2021-01-31 22:30:00.0000000,NOT HOLIDAY,NWD
2.27,0,0,3.85,2017-11-04 23:00:00.0000000,2017-11-04 23:00:00.0000000,2017,Nov,Sat,0,14783,2021-01-31 23:00:00.0000000,NOT HOLIDAY,NWD
2.12,0,0,3.87,2017-11-04 23:30:00.0000000,2017-11-04 23:30:00.0000000,2017,Nov,Sat,0,14784,2021-01-31 23:30:00.0000000,NOT HOLIDAY,NWD
2.37,0,0,4.19,2017-11-05 00:00:00.0000000,2017-11-05 00:00:00.0000000,2017,Nov,Sun,0,14785,2021-01-31 00:00:00.0000000,NOT HOLIDAY,NWD
2.27,0,0,5.04,2017-11-05 00:30:00.0000000,2017-11-05 00:30:00.0000000,2017,Nov,Sun,0,14786,2021-01-31 00:30:00.0000000,NOT HOLIDAY,NWD
2.1,0,0,3.77,2017-11-05 01:00:00.0000000,2017-11-05 01:00:00.0000000,2017,Nov,Sun,0,14787,2021-01-31 01:00:00.0000000,NOT HOLIDAY,NWD
2.02,0,0,3.06,2017-11-05 01:30:00.0000000,2017-11-05 01:30:00.0000000,2017,Nov,Sun,0,14788,2021-01-31 01:30:00.0000000,NOT HOLIDAY,NWD
1.97,0,0,4.41,2017-11-05 02:00:00.0000000,2017-11-05 02:00:00.0000000,2017,Nov,Sun,0,14789,2021-01-31 02:00:00.0000000,NOT HOLIDAY,NWD
1.88,0,0,3.15,2017-11-05 02:30:00.0000000,2017-11-05 02:30:00.0000000,2017,Nov,Sun,0,14790,2021-01-31 02:30:00.0000000,NOT HOLIDAY,NWD
1.81,0,0,4.56,2017-11-05 03:00:00.0000000,2017-11-05 03:00:00.0000000,2017,Nov,Sun,0,14791,2021-01-31 03:00:00.0000000,NOT HOLIDAY,NWD
1.74,0,0,4.08,2017-11-05 03:30:00.0000000,2017-11-05 03:30:00.0000000,2017,Nov,Sun,0,14792,2021-01-31 03:30:00.0000000,NOT HOLIDAY,NWD
1.74,0,0,3.51,2017-11-05 04:00:00.0000000,2017-11-05 04:00:00.0000000,2017,Nov,Sun,0,14793,2021-01-31 04:00:00.0000000,NOT HOLIDAY,NWD
1.61,0,0,3.04,2017-11-05 04:30:00.0000000,2017-11-05 04:30:00.0000000,2017,Nov,Sun,0,14794,2021-01-31 04:30:00.0000000,NOT HOLIDAY,NWD
1.68,0,0,3.46,2017-11-05 05:00:00.0000000,2017-11-05 05:00:00.0000000,2017,Nov,Sun,0,14795,2021-01-31 05:00:00.0000000,NOT HOLIDAY,NWD
1.75,0,0,4.43,2017-11-05 05:30:00.0000000,2017-11-05 05:30:00.0000000,2017,Nov,Sun,0,14796,2021-01-31 05:30:00.0000000,NOT HOLIDAY,NWD
1.88,0,0,2.46,2017-11-05 06:00:00.0000000,2017-11-05 06:00:00.0000000,2017,Nov,Sun,0,14797,2021-01-31 06:00:00.0000000,NOT HOLIDAY,NWD
2,0,0,4.24,2017-11-05 06:30:00.0000000,2017-11-05 06:30:00.0000000,2017,Nov,Sun,0,14798,2021-01-31 06:30:00.0000000,NOT HOLIDAY,NWD
2.14,0.1,0,4.36,2017-11-05 07:00:00.0000000,2017-11-05 07:00:00.0000000,2017,Nov,Sun,0,14799,2021-01-31 07:00:00.0000000,NOT HOLIDAY,NWD
2.54,1.18,0,4.83,2017-11-05 07:30:00.0000000,2017-11-05 07:30:00.0000000,2017,Nov,Sun,0,14800,2021-01-31 07:30:00.0000000,NOT HOLIDAY,NWD
2.89,32.75,0.13,4.68,2017-11-05 08:00:00.0000000,2017-11-05 08:00:00.0000000,2017,Nov,Sun,0,14801,2021-01-31 08:00:00.0000000,NOT HOLIDAY,NWD
3.17,136.8,0.41,5.8,2017-11-05 08:30:00.0000000,2017-11-05 08:30:00.0000000,2017,Nov,Sun,0,14802,2021-01-31 08:30:00.0000000,NOT HOLIDAY,NWD
3.27,380.33,1.23,8.38,2017-11-05 09:00:00.0000000,2017-11-05 09:00:00.0000000,2017,Nov,Sun,0,14803,2021-01-31 09:00:00.0000000,NOT HOLIDAY,NWD
3.38,448.68,1.64,13.62,2017-11-05 09:30:00.0000000,2017-11-05 09:30:00.0000000,2017,Nov,Sun,0,14804,2021-01-31 09:30:00.0000000,NOT HOLIDAY,NWD
3.29,567.92,2.14,14.31,2017-11-05 10:00:00.0000000,2017-11-05 10:00:00.0000000,2017,Nov,Sun,0,14805,2021-01-31 10:00:00.0000000,NOT HOLIDAY,NWD
3.24,630.48,2.44,15.66,2017-11-05 10:30:00.0000000,2017-11-05 10:30:00.0000000,2017,Nov,Sun,0,14806,2021-01-31 10:30:00.0000000,NOT HOLIDAY,NWD
3.29,540.83,2.14,16.47,2017-11-05 11:00:00.0000000,2017-11-05 11:00:00.0000000,2017,Nov,Sun,0,14807,2021-01-31 11:00:00.0000000,NOT HOLIDAY,NWD
3.21,642.78,2.65,18.71,2017-11-05 11:30:00.0000000,2017-11-05 11:30:00.0000000,2017,Nov,Sun,0,14808,2021-01-31 11:30:00.0000000,NOT HOLIDAY,NWD
3.21,662.13,2.65,18.38,2017-11-05 12:00:00.0000000,2017-11-05 12:00:00.0000000,2017,Nov,Sun,0,14809,2021-01-31 12:00:00.0000000,NOT HOLIDAY,NWD
3.18,520.18,2.12,16.73,2017-11-05 12:30:00.0000000,2017-11-05 12:30:00.0000000,2017,Nov,Sun,0,14810,2021-01-31 12:30:00.0000000,NOT HOLIDAY,NWD
3.23,549.14,2.26,16.68,2017-11-05 13:00:00.0000000,2017-11-05 13:00:00.0000000,2017,Nov,Sun,0,14811,2021-01-31 13:00:00.0000000,NOT HOLIDAY,NWD
3.11,569.91,2.41,17.47,2017-11-05 13:30:00.0000000,2017-11-05 13:30:00.0000000,2017,Nov,Sun,0,14812,2021-01-31 13:30:00.0000000,NOT HOLIDAY,NWD
3.14,427.88,1.77,18.26,2017-11-05 14:00:00.0000000,2017-11-05 14:00:00.0000000,2017,Nov,Sun,0,14813,2021-01-31 14:00:00.0000000,NOT HOLIDAY,NWD
3.28,286.92,1.07,10.79,2017-11-05 14:30:00.0000000,2017-11-05 14:30:00.0000000,2017,Nov,Sun,0,14814,2021-01-31 14:30:00.0000000,NOT HOLIDAY,NWD
3.44,233.3,0.77,11.45,2017-11-05 15:00:00.0000000,2017-11-05 15:00:00.0000000,2017,Nov,Sun,0,14815,2021-01-31 15:00:00.0000000,NOT HOLIDAY,NWD
3.66,200.77,0.61,11.15,2017-11-05 15:30:00.0000000,2017-11-05 15:30:00.0000000,2017,Nov,Sun,0,14816,2021-01-31 15:30:00.0000000,NOT HOLIDAY,NWD
4.09,83.65,0.17,9.21,2017-11-05 16:00:00.0000000,2017-11-05 16:00:00.0000000,2017,Nov,Sun,0,14817,2021-01-31 16:00:00.0000000,NOT HOLIDAY,NWD
4.47,3.93,0.01,6.61,2017-11-05 16:30:00.0000000,2017-11-05 16:30:00.0000000,2017,Nov,Sun,0,14818,2021-01-31 16:30:00.0000000,NOT HOLIDAY,NWD
5,0,0,5.93,2017-11-05 17:00:00.0000000,2017-11-05 17:00:00.0000000,2017,Nov,Sun,0,14819,2021-01-31 17:00:00.0000000,NOT HOLIDAY,NWD
4.94,0,0,6.03,2017-11-05 17:30:00.0000000,2017-11-05 17:30:00.0000000,2017,Nov,Sun,0,14820,2021-01-31 17:30:00.0000000,NOT HOLIDAY,NWD
4.67,0,0,5.45,2017-11-05 18:00:00.0000000,2017-11-05 18:00:00.0000000,2017,Nov,Sun,0,14821,2021-01-31 18:00:00.0000000,NOT HOLIDAY,NWD
4.37,0,0,5.31,2017-11-05 18:30:00.0000000,2017-11-05 18:30:00.0000000,2017,Nov,Sun,0,14822,2021-01-31 18:30:00.0000000,NOT HOLIDAY,NWD
4.17,0,0,4.89,2017-11-05 19:00:00.0000000,2017-11-05 19:00:00.0000000,2017,Nov,Sun,0,14823,2021-01-31 19:00:00.0000000,NOT HOLIDAY,NWD
3.84,0,0,3.87,2017-11-05 19:30:00.0000000,2017-11-05 19:30:00.0000000,2017,Nov,Sun,0,14824,2021-01-31 19:30:00.0000000,NOT HOLIDAY,NWD
3.66,0,0,2.69,2017-11-05 20:00:00.0000000,2017-11-05 20:00:00.0000000,2017,Nov,Sun,0,14825,2021-01-31 20:00:00.0000000,NOT HOLIDAY,NWD
3.5,0,0,2.52,2017-11-05 20:30:00.0000000,2017-11-05 20:30:00.0000000,2017,Nov,Sun,0,14826,2021-01-31 20:30:00.0000000,NOT HOLIDAY,NWD
3.36,0,0,2.11,2017-11-05 21:00:00.0000000,2017-11-05 21:00:00.0000000,2017,Nov,Sun,0,14827,2021-01-31 21:00:00.0000000,NOT HOLIDAY,NWD
3.1,0,0,1.43,2017-11-05 21:30:00.0000000,2017-11-05 21:30:00.0000000,2017,Nov,Sun,0,14828,2021-01-31 21:30:00.0000000,NOT HOLIDAY,NWD
2.86,0,0,1.13,2017-11-05 22:00:00.0000000,2017-11-05 22:00:00.0000000,2017,Nov,Sun,0,14829,2021-01-31 22:00:00.0000000,NOT HOLIDAY,NWD
2.51,0,0,0.75,2017-11-05 22:30:00.0000000,2017-11-05 22:30:00.0000000,2017,Nov,Sun,0,14830,2021-01-31 22:30:00.0000000,NOT HOLIDAY,NWD
2.25,0,0,0.32,2017-11-05 23:00:00.0000000,2017-11-05 23:00:00.0000000,2017,Nov,Sun,0,14831,2021-01-31 23:00:00.0000000,NOT HOLIDAY,NWD
2.08,0,0,1.71,2017-11-05 23:30:00.0000000,2017-11-05 23:30:00.0000000,2017,Nov,Sun,0,14832,2021-01-31 23:30:00.0000000,NOT HOLIDAY,NWD
